<strong>JS Functions: Higher Order</strong><br>[Source: jonas/functions.md]<br>What defines a <strong>Higher Order Function</strong>?	It is a function that either:<br>1. Returns another function<br>2. Accepts a function as an argument	obsidian://open?vault=mohamed&file=jonas%2Ffunctions
<strong>JS Internals: Event Loop</strong><br>[Source: jonas/internals/Js engine.md]<br>What is the job of the <strong>Event Loop</strong>?	It checks if the <strong>Call Stack is empty</strong>, then moves tasks from the <strong>Callback Queue</strong> to the Call Stack for execution.	obsidian://open?vault=mohamed&file=jonas%2Finternals%2FJs%20engine
<strong>JS Scoping: Lexical</strong><br>[Source: jonas/internals/scoping and the scope chain.md]<br>What is <strong>Lexical Scoping</strong>?	Scoping is controlled by the physical <strong>placement</strong> of functions and blocks in the code (where they are written), not where they are called.	obsidian://open?vault=mohamed&file=jonas%2Finternals%2Fscoping%20and%20the%20scope%20chain
<strong>JS Scoping: Types</strong><br>[Source: jonas/internals/scoping and the scope chain.md]<br>What are the 3 types of scope in JavaScript?	1. <strong>Global</strong> Scope<br>2. <strong>Function</strong> Scope<br>3. <strong>Block</strong> Scope (ES6)	obsidian://open?vault=mohamed&file=jonas%2Finternals%2Fscoping%20and%20the%20scope%20chain
<strong>JS Scoping: Var vs Let</strong><br>[Source: jonas/internals/scoping and the scope chain.md]<br>Is `var` <strong>block-scoped</strong>?	<strong>No.</strong> `var` is function-scoped.	obsidian://open?vault=mohamed&file=jonas%2Finternals%2Fscoping%20and%20the%20scope%20chain
<strong>JS Scoping: Chain vs Stack</strong><br>[Source: jonas/internals/scoping and the scope chain.md]<br>Does the <strong>Scope Chain</strong> depend on the <strong>Call Stack</strong> (order of calls)?	<strong>No.</strong> The Scope Chain depends on the <strong>lexical structure</strong> (order of writing), while the Call Stack depends on the order of invocation.	obsidian://open?vault=mohamed&file=jonas%2Finternals%2Fscoping%20and%20the%20scope%20chain
<strong>JS Internals: `this` keyword</strong><br>[Source: jonas/internals/this.md]<br>Is the value of `this` static or dynamic?	<strong>Dynamic.</strong> It is determined at the moment the function is <strong>called</strong> (runtime binding).	obsidian://open?vault=mohamed&file=jonas%2Finternals%2Fthis
<strong>JS Internals: `this` keyword</strong><br>[Source: jonas/internals/this.md]<br>What is the value of `this` in a <strong>Method Call</strong> (`obj.method()`)?	The object calling the method (the object to the left of the dot).	obsidian://open?vault=mohamed&file=jonas%2Finternals%2Fthis
<strong>JS Internals: `this` keyword</strong><br>[Source: jonas/internals/this.md]<br>What is the value of `this` in a <strong>Simple Function Call</strong> (`func()`) in strict mode?	`undefined`.	obsidian://open?vault=mohamed&file=jonas%2Finternals%2Fthis
<strong>JS Internals: `this` keyword</strong><br>[Source: jonas/internals/this.md]<br>What is the value of `this` in an <strong>Arrow Function</strong>?	It uses the <strong>Lexical `this`</strong> (inherited from the surrounding parent scope). Arrow functions do <strong>not</strong> have their own `this`.	obsidian://open?vault=mohamed&file=jonas%2Finternals%2Fthis
<strong>JS Internals: `this` keyword</strong><br>[Source: jonas/internals/this.md]<br>What is the value of `this` in an <strong>Event Listener</strong>?	The <strong>DOM element</strong> that the handler is attached to.	obsidian://open?vault=mohamed&file=jonas%2Finternals%2Fthis
<strong>JS Internals: Hoisting</strong><br>[Source: jonas/internals/Variable Environment Hoisting and The TDZ.md]<br>What is <strong>Hoisting</strong>?	The mechanism where variable and function declarations are moved to the top of their scope during the compilation phase (before execution).	obsidian://open?vault=mohamed&file=jonas%2Finternals%2FVariable%20Environment%20Hoisting%20and%20The%20TDZ
<strong>JS Syntax: Destructuring Arrays</strong><br>[Source: jonas/modern operators and data structures/modern operators.md]<br>Write code to <strong>swap</strong> variables `a` and `b` using destructuring.	<pre style='text-align:left; font-family:monospace;'><code>[a, b] = [b, a];</code></pre>	obsidian://open?vault=mohamed&file=jonas%2Fmodern%20operators%20and%20data%20structures%2Fmodern%20operators
<strong>JS Syntax: Destructuring Arrays</strong><br>[Source: jonas/modern operators and data structures/modern operators.md]<br>How do you <strong>skip</strong> an element when destructuring an array?	<pre style='text-align:left; font-family:monospace;'><code>const [a, , c] = arr; // Skips the second element</code></pre>	obsidian://open?vault=mohamed&file=jonas%2Fmodern%20operators%20and%20data%20structures%2Fmodern%20operators
<strong>JS Syntax: Destructuring Objects</strong><br>[Source: jonas/modern operators and data structures/modern operators.md]<br>How do you <strong>rename</strong> a variable while destructuring an object?	<pre style='text-align:left; font-family:monospace;'><code>const { oldName: newName } = obj;</code></pre>	obsidian://open?vault=mohamed&file=jonas%2Fmodern%20operators%20and%20data%20structures%2Fmodern%20operators
<strong>JS Syntax: Destructuring Objects</strong><br>[Source: jonas/modern operators and data structures/modern operators.md]<br>How do you provide a <strong>default value</strong> while destructuring?	<pre style='text-align:left; font-family:monospace;'><code>const { x, y = 10 } = obj;</code></pre>	obsidian://open?vault=mohamed&file=jonas%2Fmodern%20operators%20and%20data%20structures%2Fmodern%20operators
<strong>JS Syntax: Spread Operator</strong><br>[Source: jonas/modern operators and data structures/modern operators.md]<br>What does the <strong>Spread Operator</strong> (`...`) do?	It <strong>unpacks</strong> an iterable (array, string, etc.) into individual elements (e.g., for function arguments or array construction).	obsidian://open?vault=mohamed&file=jonas%2Fmodern%20operators%20and%20data%20structures%2Fmodern%20operators
<strong>JS Syntax: Spread vs Rest</strong><br>[Source: jonas/modern operators and data structures/modern operators.md]<br>What is the difference between <strong>Spread</strong> and <strong>Rest</strong> syntax?	<strong>Spread</strong> unpacks elements (expands).<br><strong>Rest</strong> collects multiple elements into an array (condenses).	obsidian://open?vault=mohamed&file=jonas%2Fmodern%20operators%20and%20data%20structures%2Fmodern%20operators
